Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","024","Angola","5511","Production","F2945","Offals","2020","2020","1000 t","26","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5511","Production","F2946","Animal fats","2020","2020","1000 t","19","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5511","Production","F2949","Eggs","2020","2020","1000 t","5","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5511","Production","F2948","Milk - Excluding Butter","2020","2020","1000 t","220","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5511","Production","F2960","Fish, Seafood","2020","2020","1000 t","411.19","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2905","Cereals - Excluding Beer","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2907","Starchy Roots","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2908","Sugar Crops","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2909","Sugar & Sweeteners","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2913","Oilcrops","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2914","Vegetable Oils","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2918","Vegetables","2020","2020","1000 t","1","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2919","Fruits - Excluding Wine","2020","2020","1000 t","9","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2924","Alcoholic Beverages","2020","2020","1000 t","2","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2943","Meat","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2945","Offals","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2946","Animal fats","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2949","Eggs","2020","2020","1000 t","1","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2948","Milk - Excluding Butter","2020","2020","1000 t","3","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5511","Production","F2960","Fish, Seafood","2020","2020","1000 t","3.17","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2905","Cereals - Excluding Beer","2020","2020","1000 t","86685","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2907","Starchy Roots","2020","2020","1000 t","3203","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2908","Sugar Crops","2020","2020","1000 t","18046","E","Estimated value"
