Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","156.562","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","156.562","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","0.5023","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","0.113","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","0.6153","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","163.052","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","163.052","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","0.5307","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","0.1194","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","0.6501","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","172.2633","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","172.2633","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","0.6177","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","0.139","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","0.7567","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","200.532","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","200.532","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","0.6476","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","0.1457","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","0.7933","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","210.2246","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","210.2246","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","0.6372","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","0.1434","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","0.7806","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","206.8619","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","206.8619","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","0.6122","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","0.1377","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","0.75","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","198.7426","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","198.7426","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","0.7613","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","0.1713","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","0.9326","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","247.1391","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","247.1391","E","Estimated value",""
